"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2026 Sep 04 12:07:00 PM",,,"287","HARVARD STREET","2","0","0","0","0","Mid-Cambridge"
"2026 Sep 04 10:32:00 AM","AVON ST","SHEPARD ST",,,"0","0","0","0","0","Neighborhood Nine"
"2026 Sep 04 10:10:00 AM",,,"13","MULLER AVE","0","0","0","0","0","North Cambridge"
"2026 Sep 04 07:50:00 AM",,,"40","GRANITE ST","0","0","0","0","0","Cambridgeport"
"2026 Sep 04 07:48:00 AM","CONCORD AVE","CORPORAL BURNS RD",,,"2","0","0","1","0","Neighborhood Nine"
"2026 Sep 04 07:00:00 AM","NORMAN ST.","BELMONT ST.",,,"0","0","0","0","0","Strawberry Hill"
"2026 Sep 03 10:40:00 PM",,,"17","WHITE ST","0","0","0","0","0","North Cambridge"
"2026 Sep 03 03:15:00 PM",,,"333","HARVARD ST","2","0","0","0","0","Mid-Cambridge"
"2026 Sep 03 01:16:00 PM",,,"2107","MASS AVE","1","0","0","1","0","North Cambridge"
"2026 Sep 03 08:33:00 AM","PLYMOUTH ST","HAMLIN ST",,,"1","0","0","0","0","Wellington-Harrington"
"2026 Sep 02 08:52:00 PM","LINAEAN STREET","MASSACHUSETTS AVE",,,"1","0","0","0","0","Baldwin"
"2026 Sep 02 07:01:00 PM","HINGHAM STREET","PUTNAM STREET",,,"2","0","0","0","0",
"2026 Sep 02 02:49:00 PM",,,"66","BISHOP ALLEN DR","1","0","0","0","0","The Port"
"2026 Sep 02 12:55:00 PM",,,"20","ELLIOT STREET","0","0","0","0","0","West Cambridge"
"2026 Sep 02 12:00:00 PM",,,"215","ALEWIFE BROOK PKWY","1","0","0","0","0","Cambridge Highlands"
"2026 Sep 02 02:34:00 AM","RINDGE AVE","ALEWIFE BROOK PARKWAY",,,"1","0","0","0","0","North Cambridge"
"2026 Sep 01 05:53:00 PM","WINDSOR ST","PALERMO ST",,,"1","0","0","0","0","Wellington-Harrington"
"2026 Sep 01 04:45:00 PM",,,"699","MOUNT AUBURN","1","0","0","0","0",
"2026 Sep 01 01:30:00 PM",,,"61","PLEASANT STREET","1","0","0","0","0","Cambridgeport"
"2026 Sep 01 01:27:00 PM",,,"130","FAWCETT STREET","0","0","0","0","0","Cambridge Highlands"
"2026 Sep 01 10:50:00 AM","MOUNT AUBURN ST","PARKING LOT",,,"2","0","0","0","0",
"2026 Aug 31 10:38:00 PM","BROADWAY","GALILEO GALILEI WAY",,,"1","0","0","1","1",
"2026 Aug 31 06:00:00 PM",,,"UNKN","HOWARD STREET","1","0","0","0","0",
"2026 Aug 31 01:07:00 PM",,,"14","CONCORD AVENUE","1","0","0","1","1","West Cambridge"
"2026 Aug 30 07:43:00 PM","MASSACHUSETTS AVE","CEDAR STREET",,,"1","0","0","0","0","North Cambridge"
"2026 Aug 30 03:15:00 PM","CAMBRIDGE PARK DRIVE","STEEL PLACE",,,"1","0","0","0","0",
"2026 Aug 30 02:13:00 PM",,,"5","BLAKE","1","0","0","1","1",
"2026 Aug 30 12:30:00 PM",,,"453","BISHOP ALLEN DR LOT #6","0","0","0","0","0",
