"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2025 Jun 25 07:50:00 AM",,,"402","MASSACHUSETTS AVENUE","0","0","0","0","0","Cambridgeport"
"2025 Jun 25 06:44:00 AM","MASS AVE","HARVEY ST",,,"2","0","0","2","2","North Cambridge"
"2025 Jun 24 06:25:00 PM",,,"168","ALEWIFE BRK PARKWAY","2","0","0","0","0","Cambridge Highlands"
"2025 Jun 24 04:20:00 PM","MASSACHUSETTS AVE","DOUGLASS ST",,,"2","0","0","0","0","Cambridgeport"
"2025 Jun 24 04:00:00 PM",,,"225","BINNEY STREET","0","0","0","0","0","East Cambridge"
"2025 Jun 24 03:52:00 PM",,,"3","WENDELL STREET","2","0","0","0","0","Baldwin"
"2025 Jun 24 09:00:00 AM",,,"18","BAY STREET","0","0","0","0","0","Riverside"
"2025 Jun 24 08:54:00 AM",,,"55","FIRST STREET","1","0","0","0","0","East Cambridge"
"2025 Jun 23 09:16:00 PM",,,,"FIFTH STREET","0","0","0","0","0",
"2025 Jun 23 04:35:00 PM","AMHERST STREET","MASSACHUSETTS AVENUE",,,"1","0","0","1","1","Area 2/MIT"
"2025 Jun 23 02:07:00 PM",,,"220","ALEWIFE BROOK PARKWAY","2","0","0","0","0","Cambridge Highlands"
"2025 Jun 23 10:57:00 AM",,,"317","FRESH POND PARKWAY","1","0","0","0","0","West Cambridge"
"2025 Jun 23 09:30:00 AM",,,"1","CORLISS PL","0","0","0","0","0","Mid-Cambridge"
"2025 Jun 22 12:00:00 PM",,,"730","MEMORIAL DR.","1","0","0","0","0","Cambridgeport"
"2025 Jun 21 05:45:00 PM","SIDNEY ST","PACIFIC ST",,,"2","0","0","0","0","Cambridgeport"
"2025 Jun 21 12:45:00 PM",,,"35","WHITE STREET","2","0","0","0","0","North Cambridge"
"2025 Jun 20 03:14:00 PM",,,"17","TRAILL STREET","1","0","0","0","0","West Cambridge"
"2025 Jun 20 12:52:00 PM",,,"399","CAMBRIDGE STREET","0","0","0","0","0","East Cambridge"
"2025 Jun 20 09:20:00 AM","PROSPECT ST","BROADWAY",,,"2","0","0","1","1","The Port"
"2025 Jun 20 09:10:00 AM","MAIN ST (ONE BROADWAY)","THIRD ST",,,"2","0","0","0","0",
"2025 Jun 20 09:08:00 AM",,"BROADWAY","30","AMORY ST","2","0","0","0","0","Mid-Cambridge"
"2025 Jun 20 08:51:00 AM",,,"603","CONCORD AVENUE","1","1","0","1","0","Cambridge Highlands"
"2025 Jun 20 07:20:00 AM","WALDEN ST","MASSACHUSETTS AVE",,,"1","0","0","0","0","North Cambridge"
"2025 Jun 20 02:39:00 AM",,,"1","BLANCHARD ROAD","1","0","0","0","0","Strawberry Hill"
"2025 Jun 19 11:12:00 PM",,,"211","ALWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2025 Jun 19 07:00:00 PM",,,"699","MT AUBURN ST","0","0","0","0","0","West Cambridge"
"2025 Jun 19 02:00:00 PM",,,"444","WINDSOR ST","0","0","0","0","0","Wellington-Harrington"
"2025 Jun 18 05:25:00 PM","SPRING STREET","SECOND STREET",,,"2","0","0","0","0","East Cambridge"
"2025 Jun 18 01:10:00 PM",,,"180","CHARLES ST","1","0","0","0","0","East Cambridge"
"2025 Jun 18 01:05:00 PM",,,"215","ALEWIFE BROOK PARKWAY","1","0","0","0","0","Cambridge Highlands"
"2025 Jun 18 01:00:00 PM",,,"20","JEFFERSON STREET","0","0","0","0","0","Wellington-Harrington"
"2025 Jun 18 09:30:00 AM",,,"29","BIGELOW ST","0","0","0","0","0","Mid-Cambridge"
"2025 Jun 17 06:34:00 PM","MASON STREET","JAMES STREET",,,"2","0","0","1","1",
"2025 Jun 17 05:11:00 PM",,,"50","BROADWAY","1","1","0","0","0","Area 2/MIT"
"2025 Jun 17 11:23:00 AM","BROADWAY","PRESCOTT ST",,,"2","0","0","0","0","Mid-Cambridge"
"2025 Jun 17 10:30:00 AM",,,"330","MOUNT AUBURN ST","0","0","0","0","0","West Cambridge"
"2025 Jun 17 08:40:00 AM",,,"59","MAPLE AVE","1","0","0","0","0","Mid-Cambridge"
"2025 Jun 17 02:19:00 AM",,,,"MASSACHUSETTS AVE","2","0","0","0","0",
"2025 Jun 16 07:09:00 PM",,,,"STANDISH STREET","1","0","0","0","0",
"2025 Jun 16 09:53:00 AM",,,"184","MAGAZINE STREET","2","0","0","0","0","Cambridgeport"
"2025 Jun 16 06:47:00 AM",,,"151","CAMBRIDGE STREET","2","0","0","1","1","East Cambridge"
"2025 Jun 15 03:26:00 PM",,,"36","WHITE STREET","2","0","0","0","0","North Cambridge"
"2025 Jun 15 01:35:00 PM",,,,"MASSACHUSETTS AVE","2","0","0","1","0",
"2025 Jun 15 12:39:00 PM",,,"287","PROSPECT STREET","1","0","1","1","1","Wellington-Harrington"
"2025 Jun 14 10:29:00 PM",,,,"TEMPLTE STREET","2","0","0","0","0",
"2025 Jun 14 07:35:00 PM",,,"200","ALEWIFE BROOK PKWY","1","0","0","0","0","Cambridge Highlands"
"2025 Jun 14 02:17:00 PM","CAMBRIDGE ST","PROSPECT ST",,,"2","0","0","0","0","Wellington-Harrington"
"2025 Jun 13 10:09:00 AM",,,"290","MAIN STREET","0","0","0","0","0","Area 2/MIT"
"2025 Jun 12 06:50:00 PM",,,"95","PRESCOTT ST","1","0","0","0","0","Mid-Cambridge"
"2025 Jun 12 03:29:00 PM","MASSACHUSETTS AVENUE","ALBANY STREET",,,"1","0","0","0","1","Cambridgeport"
"2025 Jun 12 03:00:00 PM",,,"35","ST. SAUVEUR CT","0","0","0","0","0","Strawberry Hill"
"2025 Jun 12 09:06:00 AM",,,"162","HAMPSHIRE","0","0","0","1","0",
"2025 Jun 12 08:45:00 AM","ANTRIM STREET","CAMBRIDGE STREET",,,"1","0","0","1","0","Mid-Cambridge"
"2025 Jun 11 11:22:00 PM",,,"7","TEMPLE ST","0","0","0","0","0","Mid-Cambridge"
"2025 Jun 11 09:42:00 PM",,,"568","GREEN ST","0","0","0","0","0","Riverside"
"2025 Jun 11 05:45:00 PM","RINDGE AVE","REED ST",,,"3","0","0","0","0",
"2025 Jun 11 02:20:00 PM",,,"201","HAMPSHIRE STREET","1","1","0","1","0","Mid-Cambridge"
"2025 Jun 11 02:19:00 PM",,,"47","COTTAGE STREET","2","0","0","0","0","Cambridgeport"
"2025 Jun 11 02:01:00 PM",,,"1427","CAMBRIDGE STREET","2","0","0","0","0","Mid-Cambridge"
"2025 Jun 11 12:50:00 PM","GARDEN STREET","APPIAN WAY",,,"1","0","0","0","0","West Cambridge"
"2025 Jun 11 12:15:00 PM","RIVER STREET","PUTNAM AVENUE",,,"1","0","0","0","0","Cambridgeport"
"2025 Jun 10 05:00:00 PM",,,"9","HOWARD ST","0","0","0","0","0","Riverside"
"2025 Jun 10 10:15:00 AM",,,"353","BINNEY ST","0","0","0","0","0","East Cambridge"
"2025 Jun 09 06:27:00 PM",,,,"GREEN ST","2","0","0","1","0",
"2025 Jun 09 02:45:00 PM","CAMBRIDGE STREET","FAYETTE STREET",,,"3","0","0","0","0","Mid-Cambridge"
"2025 Jun 09 07:15:00 AM",,,"44","LINNAEAN ST","2","0","0","0","0","Neighborhood Nine"
"2025 Jun 09 04:15:00 AM","RAYMOND STREET","SHERIDAN STREET",,,"1","0","0","0","0","Neighborhood Nine"
"2025 Jun 08 10:52:00 PM",,,"1172","MASSACHUSETTS AVENUE","1","0","0","1","1","Riverside"
"2025 Jun 08 10:20:00 PM","PROSPECT ST","BROADWAY",,,"1","0","0","0","0","The Port"
"2025 Jun 08 09:08:00 PM",,,,"LEE STREET","1","0","0","0","0",
"2025 Jun 08 03:00:00 PM",,,"221","OTIS STREET","0","0","0","0","0","East Cambridge"
"2025 Jun 07 11:31:00 PM","GARDEN ST","APPIAN WAY",,,"1","0","0","0","0","West Cambridge"
"2025 Jun 07 10:00:00 PM",,,"2","ELLSWORTH AVE","1","0","0","0","0","Mid-Cambridge"
"2025 Jun 07 05:57:00 PM","BROADWAY","COLUMBIA",,,"1","0","0","0","0","The Port"
"2025 Jun 07 03:57:00 PM",,,"49","CUSHING ST","0","0","1","1","0","Strawberry Hill"
"2025 Jun 06 09:19:00 PM",,,"315","MASSACHUSETTS","2","0","0","0","0",
"2025 Jun 06 03:34:00 PM","MAIN STREET","HAYWARD ST",,,"2","0","0","0","0",
"2025 Jun 05 05:25:00 PM","ELIOT STREET","JFK STREET",,,"1","0","0","0","0","West Cambridge"
"2025 Jun 05 04:00:00 PM","RIVER STREET","PUTNAM AVE",,,"2","0","0","0","0","Cambridgeport"
"2025 Jun 04 06:35:00 PM",,,"11","HOLYOKE ST","1","0","0","0","0","Riverside"
"2025 Jun 04 04:30:00 PM",,,"9","CLIFTON STREET","0","0","0","0","0","North Cambridge"
"2025 Jun 04 01:12:00 PM",,,"67","SPARKS STREET","1","1","0","1","1","West Cambridge"
"2025 Jun 04 10:20:00 AM",,,"215","ALEWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2025 Jun 04 08:44:00 AM","BRATTLE STREET","CRAIGIE STREET",,,"1","1","0","1","0",
"2025 Jun 04 12:00:00 AM",,,"160","CAMBRIDGE PARK DRIVE","0","0","0","0","0","North Cambridge"
"2025 Jun 03 02:25:00 PM",,,"186","HANCOCK STREET","1","0","0","0","0","Mid-Cambridge"
"2025 Jun 03 12:14:00 PM",,,"340","RIVER STREET","1","0","0","0","0","Cambridgeport"
"2025 Jun 03 09:59:00 AM",,,"99","MAGAZINE ST","2","0","0","0","0","Cambridgeport"
"2025 Jun 03 09:10:00 AM","MASS AVE.","INMAN ST",,,"1","0","0","0","0","Mid-Cambridge"
"2025 Jun 03 08:40:00 AM",,,"100","CAMBRIDGESIDE PLACE","1","0","0","0","0","East Cambridge"
"2025 Jun 03 08:18:00 AM","MOUNT AUBURN STREET","DEWOLFE STREET",,,"2","0","0","1","0","Riverside"
"2025 Jun 02 03:14:00 PM","BRATTLE STREET","MASON STREET",,,"0","0","0","0","0","West Cambridge"
"2025 Jun 02 10:06:00 AM","SPRING STREET","FIFTH STREET",,,"2","0","0","4","4","East Cambridge"
"2025 Jun 02 07:46:00 AM",,,"16","GARFIELD STREET","1","0","0","0","0","Baldwin"
"2025 Jun 01 06:30:00 PM","MASS AVE","COTTAGE PK AVE",,,"1","0","0","0","0","North Cambridge"
"2025 Jun 01 06:20:00 PM",,,"95","HOWARD STREET","0","0","0","0","0","Riverside"
"2025 Jun 01 06:00:00 PM",,,"2","BRISTOL STREET","1","0","0","0","0","Wellington-Harrington"
"2025 Jun 01 12:23:00 PM",,,"251","WESTERN AVENUE","1","0","0","0","0","Riverside"
"2025 Jun 01 11:42:00 AM",,,"57","HAYES STREET","0","0","0","0","0","Riverside"
"2025 May 31 09:16:00 PM","CARDINAL MEDEIROS AVE","MARNEY ST",,,"2","0","0","2","0","Wellington-Harrington"
"2025 May 30 11:14:00 PM",,,"58-60","BRISTOL ST","0","0","0","0","1","Wellington-Harrington"
"2025 May 30 07:00:00 PM","MAX AVE","OTIS ST",,,"1","0","0","0","0","East Cambridge"
"2025 May 30 05:00:00 PM","THIRD STREET","CAMBRIDGE STREET",,,"3","0","0","0","0","East Cambridge"
"2025 May 30 04:41:00 PM","CAMBRIDGE STREET","FIRST ST",,,"2","0","0","0","0","East Cambridge"
"2025 May 30 03:31:00 PM",,,"81","HURON AVENUE","2","0","0","0","0","Neighborhood Nine"
"2025 May 30 07:50:00 AM",,,"67","SMITH PLACE","0","0","0","0","0","Cambridge Highlands"
"2025 May 29 06:50:00 PM",,,"252","BRATTLE STREET","1","1","0","1","0","West Cambridge"
"2025 May 29 03:22:00 PM",,,"824","CAMBRIDGEPARK DRIVE","1","0","0","0","0","North Cambridge"
"2025 May 29 01:30:00 PM","WINDSOR ST","HARVARD ST",,"WINDSOR ST","0","0","1","1","0","The Port"
"2025 May 29 12:16:00 PM","MASSACHUSETTS AVENUE","GARDEN STREET",,,"2","0","0","0","0","Neighborhood Nine"
"2025 May 29 11:00:00 AM",,,"35","CHURCH STREET","1","0","0","1","0","West Cambridge"
"2025 May 29 10:15:00 AM",,,"250","BRATTLE STREET","0","0","0","0","0","West Cambridge"
"2025 May 29 10:12:00 AM",,,,"BENT ST","1","0","0","0","0",
"2025 May 29 09:30:00 AM",,,"1154","MASSACHUSETTS AVENUE","1","0","0","0","0","Riverside"
"2025 May 29 08:26:00 AM",,,"31","CUSHING ST","1","0","0","1","1","Strawberry Hill"
"2025 May 29 07:24:00 AM",,,"250","WATER STREET","1","0","0","0","0","East Cambridge"
"2025 May 28 06:00:00 PM",,,"34","FOLLEN STREET","0","0","0","0","0","Neighborhood Nine"
"2025 May 28 12:04:00 PM",,,"691","CAMBRIDE STREET","2","0","0","1","1","Wellington-Harrington"
"2025 May 28 11:31:00 AM",,,"7-9","WOODBRIDGE","0","0","0","0","0",
"2025 May 28 10:37:00 AM","BRATTLE ST","CRAIGE ST",,,"1","1","0","2","1",
"2025 May 28 10:30:00 AM",,,"24","CALLENDER ST","0","0","0","0","0","Riverside"
"2025 May 28 09:57:00 AM",,,"33","BLAKESLEE ST","1","0","0","0","0","West Cambridge"
"2025 May 27 04:00:00 PM",,,"303","HEWS ST","2","0","0","0","0",
"2025 May 27 03:50:00 PM",,,"474","BROADWAY","2","0","0","0","1","Mid-Cambridge"
"2025 May 27 03:48:00 PM",,,,"BROADWAY","2","0","0","0","1",
"2025 May 27 07:20:00 AM",,,"25","TUDOR STREET","1","0","0","0","0","Cambridgeport"
"2025 May 26 08:30:00 PM",,,"26","NEW ST","0","0","0","0","0","Neighborhood Nine"
"2025 May 26 07:53:00 PM","HARVARD STREET","MASSACHUSETTS AVENUE",,,"1","0","0","1","1","Riverside"
"2025 May 26 06:36:00 PM",,,"205","BROADWAY","2","0","0","0","0","The Port"
"2025 May 26 04:05:00 PM",,,"200","ALEWIFE BROOK PKWY","0","0","0","0","0","Cambridge Highlands"
"2025 May 25 08:14:00 PM",,,"660","CAMBRIDGE STREET","0","0","0","0","0","East Cambridge"
"2025 May 25 02:08:00 PM",,,"381","WESTERN AVE","2","0","0","0","0","Riverside"
"2025 May 24 11:19:00 PM",,,"521","GREEN ST","1","0","0","0","0","Riverside"
"2025 May 24 04:13:00 PM",,,"0","GARDEN STREET","0","0","0","0","0","West Cambridge"
"2025 May 24 11:30:00 AM",,,"41","PUTNAM AVE","0","0","0","0","0","Cambridgeport"
"2025 May 24 10:44:00 AM",,,"70","BROADWAY","0","0","0","0","0","Area 2/MIT"
"2025 May 23 11:00:00 PM",,,"50","NORFOLK STREET","0","0","0","0","0","The Port"
"2025 May 23 04:00:00 PM",,,"2225","MASSACHUSETTS AVE","0","0","1","0","0","North Cambridge"
"2025 May 23 01:38:00 PM",,,,"HURON AVE","2","0","0","1","0",
"2025 May 23 01:30:00 PM","HAMPSHIRE STREET","BRISTOL STREET",,,"2","0","0","0","0","The Port"
"2025 May 23 01:21:00 PM",,,"77","MASSACHUSETTS AVE","1","1","0","1","1","Area 2/MIT"
"2025 May 23 01:00:00 PM",,,"45","UNIVERSITY ROAD","1","0","0","0","0","West Cambridge"
"2025 May 23 12:05:00 PM",,,"20","TRAILL ST","2","0","0","1","0","West Cambridge"
"2025 May 23 08:00:00 AM",,,"220","ALEWIFE BROOK PKWY","0","0","0","0","0","Cambridge Highlands"
"2025 May 22 09:50:00 PM","BROADWAY","PRESCOTT","474","BROADWAY","1","0","1","1","1","Mid-Cambridge"
"2025 May 22 09:48:00 PM",,,"2310","MASSACHUSETTS AVENUE","2","0","0","0","0","North Cambridge"
"2025 May 22 08:16:00 PM",,,"15","NORMANDY AVENUE","0","0","0","0","0","Cambridge Highlands"
"2025 May 22 01:00:00 PM",,,"2","ELLSWORTH AVE","0","0","0","0","0","Mid-Cambridge"
"2025 May 22 10:04:00 AM",,,"599","CAMBRIDGE STREET","0","0","0","0","0","East Cambridge"
"2025 May 22 08:45:00 AM","WALDEN STREET","CONCORD AVENUE",,,"1","0","0","0","0","Neighborhood Nine"
"2025 May 22 08:24:00 AM","BROADWAY","MAIN STREET",,,"0","0","1","0","0","Area 2/MIT"
"2025 May 21 07:47:00 PM","BROADWAY","TREMONT ST",,,"2","0","0","0","0","The Port"
"2025 May 21 05:33:00 PM","ALBANY STREET",,"63","ALBANY STREET","1","1","0","1","1","The Port"
"2025 May 21 04:15:00 PM",,,,"JOHN F. KENNEDY STREET","2","0","0","0","0",
"2025 May 21 02:00:00 PM",,,"2269","MASSACHUSETTS AVENUE","0","0","0","0","0","North Cambridge"
"2025 May 21 12:58:00 PM",,,"2300","MASSACHUSETTS AVENUE","1","0","0","0","0","North Cambridge"
"2025 May 20 07:00:00 PM",,,"80","BERKSHIRE","0","0","0","0","0",
"2025 May 20 06:03:00 PM","PEARL STREET","WATSON STREET",,,"1","0","0","0","0","Cambridgeport"
"2025 May 20 02:28:00 PM","WINDSOR STREET","MAIN STREET",,,"2","0","0","0","0","The Port"
"2025 May 20 12:30:00 PM",,,"205","BENT ST","1","0","0","0","0","East Cambridge"
"2025 May 20 12:26:00 PM",,,"228","WESTERN AVE","1","0","0","0","0","Riverside"
"2025 May 20 09:04:00 AM","HARVARD STREET","PROSPECT STREET",,,"1","0","0","0","0","Mid-Cambridge"
"2025 May 20 05:34:00 AM","EVERETT STREET","OXFORD STREET",,,"2","0","0","0","0","Baldwin"
"2025 May 20 05:00:00 AM",,,"1","CLIFTON PLACE","0","0","0","0","0","North Cambridge"
"2025 May 19 03:00:00 PM",,,"66","SHERMAN ST","0","0","0","0","0","Neighborhood Nine"
"2025 May 19 02:49:00 PM",,,"139","MASSACHUSETTS AVE","2","0","0","0","0","Area 2/MIT"
"2025 May 19 12:31:00 PM",,,"6","MAIN STREET","1","0","0","0","0","Area 2/MIT"
"2025 May 19 11:30:00 AM",,,"699","MOUNT AUBURN ST PARKING LOT","0","0","0","0","0","West Cambridge"
"2025 May 18 09:00:00 PM","FRESH POND PARKWAY","LEXINGTON AVE","223","FRESH POND PARKWAY","0","0","0","0","0","West Cambridge"
"2025 May 18 08:56:00 PM",,,"186","ALEWIFE BROOK PKWY","2","0","0","0","0","Cambridge Highlands"
"2025 May 18 05:41:00 PM",,,"190","HAMPSHIRE STREET","2","0","0","0","0","Mid-Cambridge"
"2025 May 18 09:26:00 AM","NORTH FIRST ST","WATER ST",,,"1","1","0","1","0",
"2025 May 17 09:22:00 PM","WALDEN STREET","CONCORD AVENUE",,"WALDEN STREET","1","0","0","0","0","Neighborhood Nine"
"2025 May 17 09:20:00 PM","CONCORD AVENUE","BLANCHARD ROAD",,,"2","0","0","4","4",
"2025 May 17 09:10:00 PM",,,"151","PUTNAM AVE","0","0","0","0","0","Riverside"
"2025 May 17 09:00:00 PM","FRESHPOND PARKWAY","CONCORD AVE",,,"1","0","0","0","0",
"2025 May 17 08:58:00 PM","CONCORD AVE","ALEWIFE BROOK PKWY ROTAR",,"CONCORD AVE","1","0","0","1","0","Cambridge Highlands"
"2025 May 17 08:52:00 PM",,,"515","CONCORD AVE","1","0","0","0","0","Cambridge Highlands"
"2025 May 17 07:05:00 PM",,,"26","LAMBERT ST","1","0","0","1","0","East Cambridge"
"2025 May 17 11:00:00 AM",,,"20","UPTON STREET","1","0","0","0","0","Cambridgeport"
"2025 May 16 11:10:00 PM","WESTERN AVE","HOWARD STREET",,,"2","0","0","0","0","Riverside"
"2025 May 16 09:43:00 PM",,,"20","ELLERY STREET","1","0","0","0","0","Mid-Cambridge"
"2025 May 16 06:03:00 PM",,,"34","BUCKINGHAM STREET","1","0","0","0","0","West Cambridge"
"2025 May 16 05:46:00 PM",,,"1000","MASSACHUSETTS AVE","1","0","1","0","0","Riverside"
"2025 May 16 12:00:00 PM","WALDEN STREET","SAVILLE STREET","400","WALDEN STREET","0","0","0","0","0","West Cambridge"
"2025 May 16 11:10:00 AM",,,"64","ROGERS STREET","0","0","0","0","0",
"2025 May 16 06:30:00 AM",,,"169","WESTERN AVE","0","0","0","0","0","Riverside"
"2025 May 15 08:11:00 PM",,,"269","HARVARD ST","0","0","0","0","0","Mid-Cambridge"
"2025 May 15 07:25:00 PM","STEARNS STREET","SHERMAN STREER",,,"2","0","0","0","0","Neighborhood Nine"
"2025 May 15 03:34:00 PM",,,,"NORFOLK STREET","2","0","0","0","0",
"2025 May 15 03:00:00 PM","GARDEN STREET","PEABODY STREET",,,"2","0","0","0","0","Neighborhood Nine"
"2025 May 15 01:00:00 PM",,,"179","BENT ST","0","0","0","0","0","East Cambridge"
"2025 May 15 12:30:00 PM","KIRKLAND ST","IRVING ST",,,"2","0","0","0","1","Mid-Cambridge"
"2025 May 15 10:59:00 AM",,,"2210","MASS AVE","2","0","0","0","0","North Cambridge"
"2025 May 15 09:30:00 AM",,,"245","BENT ST","0","0","0","0","0","East Cambridge"
"2025 May 15 09:03:00 AM",,,"225","RIDNGE AVE","2","0","0","0","0","North Cambridge"
"2025 May 15 08:00:00 AM","HAMPSHIRE ST","CARDINAL MEDIROS AVE",,,"1","1","0","0","0",
"2025 May 15 07:30:00 AM","NORTH FIRST","CAMBRIDGE ST",,,"0","1","0","1","1",
"2025 May 14 09:45:00 PM","HARVARD ST","COLUMBIA ST",,,"0","0","0","1","0","The Port"
"2025 May 14 08:56:00 PM",,,"11","DUNSTER STREET","0","1","0","1","0","Riverside"
"2025 May 14 05:51:00 PM","MAIN STREET","BISHOP RICHARD ALLEN DRIVE",,,"1","0","0","0","0",
"2025 May 14 05:36:00 PM",,,"75","CAMBRIDGE STREET","2","0","0","0","0","Wellington-Harrington"
"2025 May 14 05:17:00 PM",,,"220","CONCORD AVE","2","0","0","0","0","West Cambridge"
"2025 May 14 04:23:00 PM",,,"306","BROADWAY","2","0","0","0","0","The Port"
"2025 May 14 03:20:00 PM",,,"68","WESTERN AVE","1","0","0","0","0","Riverside"
"2025 May 14 09:00:00 AM",,,"12","BOARDMAN STREET","0","0","0","0","0","The Port"
"2025 May 14 08:19:00 AM","GARFIELD ST","MASSACHUSETTS AVE",,,"1","0","1","1","0","Neighborhood Nine"
"2025 May 14 01:30:00 AM","PUTNAM AVE","CALLENDER",,,"1","0","0","0","1","Riverside"
"2025 May 13 05:00:00 PM","99 SHERMAN STREET","WALDEN SQUARE ROAD",,,"2","0","0","0","0","Neighborhood Nine"
"2025 May 13 01:50:00 PM","INMAN ST","BISHOP ALLEN DRIVE",,,"2","0","0","0","0","Mid-Cambridge"
"2025 May 13 11:36:00 AM","CAMBRIDGE ST","FIFTH ST",,,"0","0","0","1","0","East Cambridge"
"2025 May 13 11:21:00 AM",,,"200","CAMBRIDGEPARK DRIVE","1","0","0","0","0","North Cambridge"
"2025 May 13 11:04:00 AM",,,"102","PUTNAM AVE","1","0","0","0","0","Riverside"
"2025 May 13 09:51:00 AM","HAMPSHIRE ST","TREMONT ST",,,"1","1","0","1","0","The Port"
"2025 May 13 07:00:00 AM","MASSACHUSETTS AVE","CHURCH STREET",,,"0","0","0","0","0","West Cambridge"
"2025 May 12 08:40:00 PM","BELMONT ST","HOLWORTHY",,,"1","1","0","1","1","Strawberry Hill"
"2025 May 12 07:30:00 PM",,,"624","MASSACHUSETTS AVENUE","2","0","0","0","0","Cambridgeport"
"2025 May 12 06:30:00 PM","CAMBRIDGE STREET","CARDINAL MEDEIROS AVENUE",,,"1","0","0","0","0","Wellington-Harrington"
"2025 May 12 05:50:00 PM",,,"766","CAMBRIDGE STREET","3","0","0","0","0","Wellington-Harrington"
"2025 May 12 04:00:00 PM",,,"731","MASSACHUSETTS AVE","1","0","0","0","0","Mid-Cambridge"
"2025 May 12 09:00:00 AM",,,"330","MT AUBURN STREET","1","0","0","0","0","West Cambridge"
"2025 May 12 07:21:00 AM","MOUNT AUBURN ST","WILLARD ST",,,"1","0","0","0","0","West Cambridge"
"2025 May 11 07:47:00 PM","RIVER STREET","GREEN STREET",,,"2","0","0","2","2",
"2025 May 11 06:56:00 PM","PACIFIC STREET","SIDNEY STREET",,,"2","0","0","1","0","Cambridgeport"
"2025 May 11 05:00:00 PM",,,"59","HAMILTON ST","1","0","0","0","0","Cambridgeport"
"2025 May 11 12:00:00 PM","THIRD ST","POTTER ST",,,"1","0","0","0","0","East Cambridge"
"2025 May 11 02:48:00 AM","BRATTLE STREET","ELLIOT STREET",,,"2","0","0","0","0",
"2025 May 11 02:12:00 AM",,,"1493","CAMBRIDGE STREET","1","0","0","0","0","Mid-Cambridge"
"2025 May 10 08:02:00 PM",,"MT AUBURN ST","408","MT AUBURN ST","2","0","0","0","0","West Cambridge"
"2025 May 10 01:27:00 PM",,,"202","ALEWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2025 May 10 12:22:00 PM",,,"121","BRATTLE","1","0","0","0","0",
"2025 May 09 10:25:00 PM","GARDEN ST","FIELD ST",,,"0","0","0","0","0",
"2025 May 09 10:00:00 PM",,,"29","ELM ST","1","0","0","0","0","The Port"
"2025 May 09 06:30:00 PM",,,"202","ALEWIFE BROOK PARKWAY","2","0","0","0","0","Cambridge Highlands"
"2025 May 09 06:00:00 PM","ROGERS STREET","FIRST STREET",,,"2","0","0","0","0","East Cambridge"
"2025 May 09 03:00:00 PM","BROADWAY","MAPLE AVE",,,"2","0","0","1","0","Mid-Cambridge"
"2025 May 09 11:45:00 AM",,,"3","LINNEAN ST","0","0","0","0","0","Neighborhood Nine"
"2025 May 09 09:45:00 AM","RIVER ST","HOWARD SY",,,"1","0","3","3","3",
"2025 May 08 11:20:00 PM",,,,"CAMERON AVENUE","0","0","1","1","0",
"2025 May 08 11:00:00 PM",,,"53","HARVEY ST","0","0","0","0","0","North Cambridge"
"2025 May 08 05:26:00 PM","MASS. AVE","SIDNEY STREET",,,"1","0","0","0","0","The Port"
"2025 May 08 05:15:00 PM",,,"5","WHITE ST","2","0","0","0","0","North Cambridge"
"2025 May 08 09:48:00 AM","MASSACHUSETTS AVE","AMHERST STREET",,,"1","1","0","1","0","Area 2/MIT"
"2025 May 08 08:30:00 AM",,,"192","HAMPSHIRE ST","2","0","0","0","0","Mid-Cambridge"
"2025 May 07 08:40:00 PM",,,"227","ALEWIFE BROOK PRWY","0","0","0","0","0","Cambridge Highlands"
"2025 May 07 03:00:00 PM",,,"158","BROOKLINE ST","0","0","0","0","0","Cambridgeport"
"2025 May 07 12:16:00 PM",,,"1900","CAMBRIGDE ST","2","0","0","0","0",
"2025 May 07 12:00:00 PM",,,"248","FRANKLIN ST","0","0","0","0","0","Cambridgeport"
"2025 May 07 10:05:00 AM","CAMBRIDGE STREET","PROSPECT STREET",,,"1","0","0","0","0","Wellington-Harrington"
"2025 May 06 04:31:00 PM","BROOKLINE STREET","WAVERLY STREET",,,"2","0","0","1","0","Cambridgeport"
"2025 May 06 03:30:00 PM",,,"39","HOLYOKE STREET","2","0","0","0","0","Riverside"
"2025 May 06 01:45:00 PM","MT AUBURN ST","MT AUBURN PARKING LOT","330","MOUNT AUBURN ST","2","0","0","0","0","West Cambridge"
"2025 May 06 10:00:00 AM","MEMORIAL DRIVE","MAIN ST",,,"2","0","0","0","0","Area 2/MIT"
"2025 May 05 10:16:00 PM",,,"1595","MASS AVE / EVERETT STREET","1","0","0","0","0",
"2025 May 05 06:22:00 PM",,,"402","RINDGE AVENUE","1","0","0","0","0","North Cambridge"
"2025 May 05 05:00:00 PM","DANA STREET","MASS AVE","1000","MASS AVE","1","0","1","1","1","Riverside"
"2025 May 05 04:49:00 PM","MOUNT PLEASANT STREET","WALDEN STREET",,,"0","0","0","0","0",
